,Unnamed: 0,Institution,Postal Code,City,Province,Type,Avg EC,Avg NG,postal_code,country code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
47,50,Algonquin - Pembroke,K8A 0C8,Pembroke,ON,C,,,K8A,CA,Pembroke Central and northern subdivisions,Ontario,ON,Pembroke,,,,45.7466,-77.2047,1.0
48,51,Algonquin - Perth,K7H 1X7,Perth,ON,C,112.34,41.948,K7H,CA,Perth,Ontario,ON,,,,,44.9001,-76.2494,4.0
49,52,Cambrian - Barrydowne Campus,P3A 3V8,Sudbury,ON,C,110.21,40.95,P3A,CA,Greater Sudbury (New Sudbury),Ontario,ON,Greater Sudbury ,,,,46.5187,-80.934,6.0
50,53,Cambrian - Manitoulin Campus,POP 1KO,Little Current,ON,C,117.11,41.948,POP,,,,,,,,,,,
51,54,Cambrian - Espanola Campus,P5E 1S6,Espanola,ON,C,114.67,40.95,P5E,CA,Espanola,Ontario,ON,,,,,46.2584,-81.7665,4.0
52,55,Canadore - College Drive Campus,P1B 8K9,North Bay,ON,C,108.614,41.948,P1B,CA,North Bay Central,Ontario,ON,North Bay ,,,,46.3364,-79.583,1.0
53,56,Canadore - West Parry Sound Campus,P2A 0A9,Parry Sound,ON,C,108.614,41.948,P2A,CA,Parry Sound,Ontario,ON,,,,,45.3501,-80.033,4.0
54,57,Canadore - Stanford Scarborough Campus,M1G 3T5,Scarborough,ON,C,114.67,40.95,M1G,CA,Scarborough (Woburn),Ontario,ON,Scarborough,,,,43.7712,-79.2144,6.0
55,58,Canadore - Stanford Mississauga Campus,L4W 1K4,Mississauga,ON,C,,,L4W,CA,Mississauga (Matheson / East Rathwood),Ontario,ON,Mississauga,,,,43.6413,-79.6296,1.0
56,59,Canadore - Stanford Brampton Campus,L6S 6B5,Brampton,ON,C,,,L6S,CA,Brampton North Central,Ontario,ON,Brampton,,,,43.7379,-79.726,1.0
57,60,Canadore - Stanford Toronto Campus,M3B 2R2,Toronto,ON,C,,,M3B,CA,Don Mills North,Ontario,ON,Don Mills ,,,,43.745,-79.359,4.0
